genes,study,relevance
CRISP2,Eichstaedt2014,Selec_And
RP3-417L20.3,Eichstaedt2014,Selec_And
RP11-719J20.1,Eichstaedt2014,Selec_And
PGK2,Eichstaedt2014,Selec_And
RP3-417L20.4,Eichstaedt2014,Selec_And
CSDC2,Eichstaedt2014,Selec_And
PPPDE2,Eichstaedt2014,Selec_And
PMM1,Eichstaedt2014,Selec_And
ACO2,Eichstaedt2014,Selec_And
POLR3H,Eichstaedt2014,Selec_And
PHF5A,Eichstaedt2014,Selec_And
TOB2,Eichstaedt2014,Selec_And
CSF3R,Eichstaedt2014,Selec_And
CTB-158E9.2,Eichstaedt2014,Selec_And
CTD-2568P10.1,Eichstaedt2014,Selec_And
SAP30L,Eichstaedt2014,Selec_And
GALNT10,Eichstaedt2014,Selec_And
CTB-158E9.1,Eichstaedt2014,Selec_And
CTB-157D17.1,Eichstaedt2014,Selec_And
HAND1,Eichstaedt2014,Selec_And
CTD-2350J17.1,Eichstaedt2014,Selec_And
FBXL7,Eichstaedt2014,Selec_And
CYP17A1,Eichstaedt2014,Selec_And
CYP39A1,Eichstaedt2014,Selec_And
RCAN2,Eichstaedt2014,Selec_And
RP3-347E1.2,Eichstaedt2014,Selec_And
RP11-795J1.2,Eichstaedt2014,Selec_And
RP11-795J1.1,Eichstaedt2014,Selec_And
DHRS1,Eichstaedt2014,Selec_And
DHX16,Eichstaedt2014,Selec_And
ATAT1,Eichstaedt2014,Selec_And
C6orf136,Eichstaedt2014,Selec_And
TUBB,Eichstaedt2014,Selec_And
NRM,Eichstaedt2014,Selec_And
HCG20,Eichstaedt2014,Selec_And
FLOT1,Eichstaedt2014,Selec_And
MDC1,Eichstaedt2014,Selec_And
IER3,Eichstaedt2014,Selec_And
PPP1R18,Eichstaedt2014,Selec_And
PTMAP1,Eichstaedt2014,Selec_And
LINC00243,Eichstaedt2014,Selec_And
RPL7P4,Eichstaedt2014,Selec_And
MDC1-AS1,Eichstaedt2014,Selec_And
DNAJC5B,Eichstaedt2014,Selec_And
EGLN2,Eichstaedt2014,Selec_And
EIF4A1,Eichstaedt2014,Selec_And
SNORD10,Eichstaedt2014,Selec_And
TP53,Eichstaedt2014,Selec_And
SNORA67,Eichstaedt2014,Selec_And
SOX15,Eichstaedt2014,Selec_And
TNFSF12-TNFSF13,Eichstaedt2014,Selec_And
SENP3,Eichstaedt2014,Selec_And
TNFSF13,Eichstaedt2014,Selec_And
WRAP53,Eichstaedt2014,Selec_And
CD68,Eichstaedt2014,Selec_And
SHBG,Eichstaedt2014,Selec_And
TNFSF12,Eichstaedt2014,Selec_And
POLR2A,Eichstaedt2014,Selec_And
MPDU1,Eichstaedt2014,Selec_And
SNORA48,Eichstaedt2014,Selec_And
AC007421.1,Eichstaedt2014,Selec_And
ATP1B2,Eichstaedt2014,Selec_And
FXR2,Eichstaedt2014,Selec_And
AC113189.5,Eichstaedt2014,Selec_And
SAT2,Eichstaedt2014,Selec_And
ELTD1,Eichstaedt2014,Selec_And
EMP2,Eichstaedt2014,Selec_And
TEKT5,Eichstaedt2014,Selec_And
RP11-27M24.1,Eichstaedt2014,Selec_And
ENOX2,Eichstaedt2014,Selec_And
ERVH48-1,Eichstaedt2014,Selec_And
AP001630.5,Eichstaedt2014,Selec_And
WDR4,Eichstaedt2014,Selec_And
AP001628.6,Eichstaedt2014,Selec_And
PKNOX1,Eichstaedt2014,Selec_And
AP001630.1,Eichstaedt2014,Selec_And
NDUFV3,Eichstaedt2014,Selec_And
AP001628.7,Eichstaedt2014,Selec_And
MX2,Eichstaedt2014,Selec_And
EYS,Eichstaedt2014,Selec_And
RP11-69I22.2,Eichstaedt2014,Selec_And
FAM189B,Eichstaedt2014,Selec_And
FAM19A1,Eichstaedt2014,Selec_And
FBXO21,Eichstaedt2014,Selec_And
FBXW8,Eichstaedt2014,Selec_And
TESC,Eichstaedt2014,Selec_And
RP11-103B5.2,Eichstaedt2014,Selec_And
RP11-231I16.1,Eichstaedt2014,Selec_And
FCHSD1,Eichstaedt2014,Selec_And
HDAC3,Eichstaedt2014,Selec_And
AC008781.7,Eichstaedt2014,Selec_And
RELL2,Eichstaedt2014,Selec_And
ARAP3,Eichstaedt2014,Selec_And
FDPS,Eichstaedt2014,Selec_And
FERMT3,Eichstaedt2014,Selec_And
FLRT1,Eichstaedt2014,Selec_And
FOXO1,Eichstaedt2014,Selec_And
FREM2,Eichstaedt2014,Selec_And
FTLP10,Eichstaedt2014,Selec_And
TMPRSS11BNL,Eichstaedt2014,Selec_And
RP11-642E20.3,Eichstaedt2014,Selec_And
RP11-642E20.5,Eichstaedt2014,Selec_And
RP11-642E20.2,Eichstaedt2014,Selec_And
RP11-453E17.3,Eichstaedt2014,Selec_And
YTHDC1,Eichstaedt2014,Selec_And
TMPRSS11B,Eichstaedt2014,Selec_And
RP11-642E20.4,Eichstaedt2014,Selec_And
GBAP1,Eichstaedt2014,Selec_And
TRIM46,Eichstaedt2014,Selec_And
SLC50A1,Eichstaedt2014,Selec_And
KRTCAP2,Eichstaedt2014,Selec_And
DPM3,Eichstaedt2014,Selec_And
RP11-263K19.4,Eichstaedt2014,Selec_And
RP11-307C12.11,Eichstaedt2014,Selec_And
HMGN2P18,Eichstaedt2014,Selec_And
MTX1,Eichstaedt2014,Selec_And
ADAM15,Eichstaedt2014,Selec_And
MIR92B,Eichstaedt2014,Selec_And
MUC1,Eichstaedt2014,Selec_And
RP11-540D14.8,Eichstaedt2014,Selec_And
RP11-540D14.6,Eichstaedt2014,Selec_And
DCST1,Eichstaedt2014,Selec_And
DCST2,Eichstaedt2014,Selec_And
RP11-263K19.6,Eichstaedt2014,Selec_And
EFNA3,Eichstaedt2014,Selec_And
THBS3,Eichstaedt2014,Selec_And
EFNA1,Eichstaedt2014,Selec_And
EFNA4,Eichstaedt2014,Selec_And
GCOM1,Eichstaedt2014,Selec_And
CGNL1,Eichstaedt2014,Selec_And
GRINL1A,Eichstaedt2014,Selec_And
CTD-2515H24.1,Eichstaedt2014,Selec_And
GMPR2,Eichstaedt2014,Selec_And
GNGT1,Eichstaedt2014,Selec_And
GPR110,Eichstaedt2014,Selec_And
TNFRSF21,Eichstaedt2014,Selec_And
GPR176,Eichstaedt2014,Selec_And
RP11-37C7.1,Eichstaedt2014,Selec_And
RP11-37C7.2,Eichstaedt2014,Selec_And
FSIP1,Eichstaedt2014,Selec_And
GRHL1,Eichstaedt2014,Selec_And
HAND2,Eichstaedt2014,Selec_And
HCN3,Eichstaedt2014,Selec_And
HDLBP,Eichstaedt2014,Selec_And
HFM1,Eichstaedt2014,Selec_And
IGF1,Eichstaedt2014,Selec_And
IGFBP2,Eichstaedt2014,Selec_And
IL17F,Eichstaedt2014,Selec_And
MCM3,Eichstaedt2014,Selec_And
MIR206,Eichstaedt2014,Selec_And
RP11-771D21.2,Eichstaedt2014,Selec_And
IL17A,Eichstaedt2014,Selec_And
MIR133B,Eichstaedt2014,Selec_And
SLC25A20P1,Eichstaedt2014,Selec_And
LHFP,Eichstaedt2014,Selec_And
LIMCH1,Eichstaedt2014,Selec_And
LINC00202,Eichstaedt2014,Selec_And
C10orf52,Eichstaedt2014,Selec_And
YME1L1,Eichstaedt2014,Selec_And
ANKRD26,Eichstaedt2014,Selec_And
LTB4R,Eichstaedt2014,Selec_And
LTB4R2,Eichstaedt2014,Selec_And
MACROD1,Eichstaedt2014,Selec_And
RP11-21A7A.3,Eichstaedt2014,Selec_And
RP11-21A7A.4,Eichstaedt2014,Selec_And
STIP1,Eichstaedt2014,Selec_And
RP11-21A7A.2,Eichstaedt2014,Selec_And
NUDT22,Eichstaedt2014,Selec_And
TRPT1,Eichstaedt2014,Selec_And
MARK2,Eichstaedt2014,Selec_And
MCM7,Eichstaedt2014,Selec_And
MIR25,Eichstaedt2014,Selec_And
MBLAC1,Eichstaedt2014,Selec_And
MIR93,Eichstaedt2014,Selec_And
TAF6,Eichstaedt2014,Selec_And
GATS,Eichstaedt2014,Selec_And
CNPY4,Eichstaedt2014,Selec_And
AC073842.18,Eichstaedt2014,Selec_And
RP11-506M12.1,Eichstaedt2014,Selec_And
ZKSCAN1,Eichstaedt2014,Selec_And
GPC2,Eichstaedt2014,Selec_And
MIR106B,Eichstaedt2014,Selec_And
GAL3ST4,Eichstaedt2014,Selec_And
ZSCAN21,Eichstaedt2014,Selec_And
ZNF3,Eichstaedt2014,Selec_And
AC073842.19,Eichstaedt2014,Selec_And
C7orf43,Eichstaedt2014,Selec_And
C7orf59,Eichstaedt2014,Selec_And
STAG3,Eichstaedt2014,Selec_And
MORF4,Eichstaedt2014,Selec_And
MRPL49,Eichstaedt2014,Selec_And
CAPN1,Eichstaedt2014,Selec_And
HIGD1AP10,Eichstaedt2014,Selec_And
FAU,Eichstaedt2014,Selec_And
TM7SF2,Eichstaedt2014,Selec_And
PGAM1P8,Eichstaedt2014,Selec_And
AP003068.9,Eichstaedt2014,Selec_And
ZFPL1,Eichstaedt2014,Selec_And
AP003068.17,Eichstaedt2014,Selec_And
SPDYC,Eichstaedt2014,Selec_And
AP003068.18,Eichstaedt2014,Selec_And
CDCA5,Eichstaedt2014,Selec_And
AP003068.23,Eichstaedt2014,Selec_And
SNX15,Eichstaedt2014,Selec_And
SLC22A20,Eichstaedt2014,Selec_And
SAC3D1,Eichstaedt2014,Selec_And
NAALADL1,Eichstaedt2014,Selec_And
AP003068.12,Eichstaedt2014,Selec_And
AP003068.6,Eichstaedt2014,Selec_And
U2,Eichstaedt2014,Selec_And
ZNHIT2,Eichstaedt2014,Selec_And
SYVN1,Eichstaedt2014,Selec_And
C11orf2,Eichstaedt2014,Selec_And
MRPS15,Eichstaedt2014,Selec_And
MSTO1,Eichstaedt2014,Selec_And
MUC22,Eichstaedt2014,Selec_And
XXbac-BPG27H4.8,Eichstaedt2014,Selec_And
MUC21,Eichstaedt2014,Selec_And
VARS2,Eichstaedt2014,Selec_And
DPCR1,Eichstaedt2014,Selec_And
GTF2H4,Eichstaedt2014,Selec_And
TIGD1L,Eichstaedt2014,Selec_And
DDR1,Eichstaedt2014,Selec_And
HCG21,Eichstaedt2014,Selec_And
SFTA2,Eichstaedt2014,Selec_And
MUT,Eichstaedt2014,Selec_And
CYP2AC1P,Eichstaedt2014,Selec_And
C6orf141,Eichstaedt2014,Selec_And
CENPQ,Eichstaedt2014,Selec_And
GLYATL3,Eichstaedt2014,Selec_And
NAT6,Eichstaedt2014,Selec_And
U73167.7,Eichstaedt2014,Selec_And
ZMYND10,Eichstaedt2014,Selec_And
SEMA3B,Eichstaedt2014,Selec_And
HYAL2,Eichstaedt2014,Selec_And
SEMA3F,Eichstaedt2014,Selec_And
CYB561D2,Eichstaedt2014,Selec_And
RASSF1,Eichstaedt2014,Selec_And
NPRL2,Eichstaedt2014,Selec_And
TUSC2,Eichstaedt2014,Selec_And
GNAT1,Eichstaedt2014,Selec_And
ZMYND10-AS1,Eichstaedt2014,Selec_And
SLC38A3,Eichstaedt2014,Selec_And
GNAI2,Eichstaedt2014,Selec_And
HYAL3,Eichstaedt2014,Selec_And
TMEM115,Eichstaedt2014,Selec_And
HYAL1,Eichstaedt2014,Selec_And
MIR566,Eichstaedt2014,Selec_And
U73169.1,Eichstaedt2014,Selec_And
U73166.2,Eichstaedt2014,Selec_And
C3orf45,Eichstaedt2014,Selec_And
IFRD2,Eichstaedt2014,Selec_And
NDUFS8,Eichstaedt2014,Selec_And
NEDD8,Eichstaedt2014,Selec_And
NEDD8-MDP1,Eichstaedt2014,Selec_And
NXT1P1,Eichstaedt2014,Selec_And
PROSER1,Eichstaedt2014,Selec_And
NHLRC3,Eichstaedt2014,Selec_And
OSCP1,Eichstaedt2014,Selec_And
OVOL1,Eichstaedt2014,Selec_And
SIPA1,Eichstaedt2014,Selec_And
RELA,Eichstaedt2014,Selec_And
RP11-770G2.4,Eichstaedt2014,Selec_And
AP001266.1,Eichstaedt2014,Selec_And
RP11-770G2.2,Eichstaedt2014,Selec_And
CFL1,Eichstaedt2014,Selec_And
KAT5,Eichstaedt2014,Selec_And
RP11-770G2.5,Eichstaedt2014,Selec_And
AP001362.1,Eichstaedt2014,Selec_And
PCNXL3,Eichstaedt2014,Selec_And
KRT8P26,Eichstaedt2014,Selec_And
RP11-770G2.3,Eichstaedt2014,Selec_And
RNASEH2C,Eichstaedt2014,Selec_And
PANK4,Eichstaedt2014,Selec_And
RP13-436F16.1,Eichstaedt2014,Selec_And
RP3-395M20.9,Eichstaedt2014,Selec_And
MMEL1,Eichstaedt2014,Selec_And
RP3-395M20.3,Eichstaedt2014,Selec_And
RP3-395M20.8,Eichstaedt2014,Selec_And
TTC34,Eichstaedt2014,Selec_And
RP3-395M20.7,Eichstaedt2014,Selec_And
RP3-395M20.2,Eichstaedt2014,Selec_And
PLCH2,Eichstaedt2014,Selec_And
C1orf93,Eichstaedt2014,Selec_And
TNFRSF14,Eichstaedt2014,Selec_And
HES5,Eichstaedt2014,Selec_And
PC,Eichstaedt2014,Selec_And
PKHD1,Eichstaedt2014,Selec_And
AL121946.1,Eichstaedt2014,Selec_And
PKIB,Eichstaedt2014,Selec_And
SERINC1,Eichstaedt2014,Selec_And
RP11-574H13.2,Eichstaedt2014,Selec_And
Z99129.1,Eichstaedt2014,Selec_And
PKLR,Eichstaedt2014,Selec_And
AC018643.4,Eichstaedt2014,Selec_And
PRKAA2,Eichstaedt2014,Selec_And
PRKG1,Eichstaedt2014,Selec_And
PTGFR,Eichstaedt2014,Selec_And
GIPC2,Eichstaedt2014,Selec_And
RP11-472F19.1,Eichstaedt2014,Selec_And
RP11-472F19.2,Eichstaedt2014,Selec_And
RP11-183M13.1,Eichstaedt2014,Selec_And
RN5S23,Eichstaedt2014,Selec_And
PTN,Eichstaedt2014,Selec_And
AC009264.1,Eichstaedt2014,Selec_And
AC009517.2,Eichstaedt2014,Selec_And
SNORD81,Eichstaedt2014,Selec_And
PTPRO,Eichstaedt2014,Selec_And
EPS8,Eichstaedt2014,Selec_And
PYGM,Eichstaedt2014,Selec_And
MEN1,Eichstaedt2014,Selec_And
AP001092.5,Eichstaedt2014,Selec_And
RASGRP2,Eichstaedt2014,Selec_And
AP001092.4,Eichstaedt2014,Selec_And
CDC42BPG,Eichstaedt2014,Selec_And
MAP4K2,Eichstaedt2014,Selec_And
SF1,Eichstaedt2014,Selec_And
RABGGTA,Eichstaedt2014,Selec_And
RANP6,Eichstaedt2014,Selec_And
RAP1GDS1,Eichstaedt2014,Selec_And
TSPAN5,Eichstaedt2014,Selec_And
RP11-810D13.1,Eichstaedt2014,Selec_And
RBP5,Eichstaedt2014,Selec_And
RNU1-23P,Eichstaedt2014,Selec_And
RP4-564O4.1,Eichstaedt2014,Selec_And
RP5-1100I6.2,Eichstaedt2014,Selec_And
RP11-10A2.1,Eichstaedt2014,Selec_And
RP11-191L9.5,Eichstaedt2014,Selec_And
RP11-191L9.4,Eichstaedt2014,Selec_And
RP11-191L9.6,Eichstaedt2014,Selec_And
RP11-223D18.1,Eichstaedt2014,Selec_And
RP11-260M19.1,Eichstaedt2014,Selec_And
RP11-614O9.3,Eichstaedt2014,Selec_And
AL512362.1,Eichstaedt2014,Selec_And
RP11-386D6.2,Eichstaedt2014,Selec_And
CNBD1,Eichstaedt2014,Selec_And
RP11-404P21.6,Eichstaedt2014,Selec_And
RP11-404P21.8,Eichstaedt2014,Selec_And
RP11-434O22.1,Eichstaedt2014,Selec_And
RP11-73E17.2,Eichstaedt2014,Selec_And
RP11-73E17.1,Eichstaedt2014,Selec_And
RP11-85K15.2,Eichstaedt2014,Selec_And
BAZ1A,Eichstaedt2014,Selec_And
RNU7-41P,Eichstaedt2014,Selec_And
RP11-73E17.3,Eichstaedt2014,Selec_And
RP11-461K13.1,Eichstaedt2014,Selec_And
RP11-471J12.1,Eichstaedt2014,Selec_And
RP11-476J6.1,Eichstaedt2014,Selec_And
RP11-479H16.1,Eichstaedt2014,Selec_And
RP11-479J7.1,Eichstaedt2014,Selec_And
FMO9P,Eichstaedt2014,Selec_And
RP11-276E17.2,Eichstaedt2014,Selec_And
FMO7P,Eichstaedt2014,Selec_And
FMO8P,Eichstaedt2014,Selec_And
RP11-732M18.2,Eichstaedt2014,Selec_And
TULP4,Eichstaedt2014,Selec_And
AL360169.2,Eichstaedt2014,Selec_And
TMEM181,Eichstaedt2014,Selec_And
AL360169.1,Eichstaedt2014,Selec_And
RP11-107N4.1,Eichstaedt2014,Selec_And
RP11-776A13.3,Eichstaedt2014,Selec_And
RP11-155I9.1,Eichstaedt2014,Selec_And
RP11-84O12.3,Eichstaedt2014,Selec_And
GPR88,Eichstaedt2014,Selec_And
VCAM1,Eichstaedt2014,Selec_And
RP11-84O12.4,Eichstaedt2014,Selec_And
RP11-84O12.2,Eichstaedt2014,Selec_And
RP11-96H19.1,Eichstaedt2014,Selec_And
SLC38A1,Eichstaedt2014,Selec_And
SLC38A2,Eichstaedt2014,Selec_And
RP11-474P2.2,Eichstaedt2014,Selec_And
RP11-474P2.4,Eichstaedt2014,Selec_And
RP11-96J19.3,Eichstaedt2014,Selec_And
RP11-96J19.1,Eichstaedt2014,Selec_And
RP3-483K16.2,Eichstaedt2014,Selec_And
RP11-96J19.2,Eichstaedt2014,Selec_And
ELOVL5,Eichstaedt2014,Selec_And
RP1-27K12.4,Eichstaedt2014,Selec_And
RP3-483K16.3,Eichstaedt2014,Selec_And
GCLC,Eichstaedt2014,Selec_And
AL591034.1,Eichstaedt2014,Selec_And
RP1-50J22.4,Eichstaedt2014,Selec_And
BRPF3,Eichstaedt2014,Selec_And
ETV7,Eichstaedt2014,Selec_And
PNPLA1,Eichstaedt2014,Selec_And
C6orf222,Eichstaedt2014,Selec_And
PXT1,Eichstaedt2014,Selec_And
RP3-354N19.3,Eichstaedt2014,Selec_And
FAM184A,Eichstaedt2014,Selec_And
MAN1A1,Eichstaedt2014,Selec_And
RP3-354N19.1,Eichstaedt2014,Selec_And
RP5-972B16.2,Eichstaedt2014,Selec_And
RNU7-7P,Eichstaedt2014,Selec_And
TSPAN7,Eichstaedt2014,Selec_And
RUSC1,Eichstaedt2014,Selec_And
SATB1,Eichstaedt2014,Selec_And
SCAMP3,Eichstaedt2014,Selec_And
SLCO1B3,Eichstaedt2014,Selec_And
SLCO1B7,Eichstaedt2014,Selec_And
RP11-545J16.1,Eichstaedt2014,Selec_And
SNORD28,Eichstaedt2014,Selec_And
SOD1,Eichstaedt2014,Selec_And
SPRY2,Eichstaedt2014,Selec_And
